NewDepot -1 5.0,5.0 5
NewVehicle -1 9.586596245046971,0.16999866687968712 1 10
NewVehicle -1 7.067572672888104,7.932875242702534 1 10
NewVehicle -1 0.3735645043189595,3.092657495731456 1 10
NewVehicle -1 0.40713068795099505,7.678838159167332 1 10
NewVehicle -1 5.81966338253811,9.77410586973465 1 10
NewParcel 764567782 4.516512404244254,0.3413149638844426 2.18059280403728,7.02831977795296 0 1 764574992/764580571=764788250/764793829
NewParcel 765399344 4.565069140067792,7.628730139103207 5.817808434688678,2.1748370957396013 0 1 765400117/765418570=765615003/765633456
NewParcel 766196524 2.7028554178609343,5.936399215530301 9.046244078900996,8.132489856241442 0 1 766202793/766210254=766421362/766428823
NewParcel 766924290 4.992858783974473,9.859669140203875 2.973664167090818,7.811264826630472 0 1 766932146/766936433=767236255/767240542
NewParcel 767678640 2.335686142495251,4.686596136536193 0.7138624489045353,3.626038788246623 0 1 767679881/767697398=767945899/767963416
NewParcel 768508393 9.63354396425061,8.405934944233303 8.679700459739843,3.446372588112825 0 1 768514462/768522323=768789959/768797820
NewParcel 769333708 5.906977915018742,2.8173011801058956 5.166797310440963,6.126991360797751 0 1 769336809/769350606=769604572/769618369
NewParcel 770131476 4.153432734131314,6.595070226064593 5.641929368240115,5.095517353717901 0 1 770133547/770149404=770388664/770404521
NewParcel 770952233 2.2366974042327503,5.657572660578794 6.650206629909288,0.9740166108171566 0 1 770955858/770968607=771246996/771259745
NewParcel 771777794 8.596295474807064,8.693150310444622 2.7550830885961117,6.710918422629048 0 1 771784039/771791548=772020436/772027945
NewParcel 772523328 9.065884164626324,8.194636142890705 3.425269012895007,1.199878110885625 0 1 772529871/772536784=772830956/772837869
NewParcel 773232128 3.5897257565161333,9.853817977048038 9.282604898318978,9.86213661675432 0 1 773240966/773243289=773505904/773508227
NewParcel 773905863 4.126291258807713,5.667451693504261 9.624957186613614,3.168945896244779 0 1 773913268/773918457=774213126/774218315
NewParcel 774657628 7.528061858528718,8.606382803381464 5.638205422350861,6.580619179802506 0 1 774659929/774675326=774905536/774920933
NewParcel 775369643 9.686588513231428,9.199343024233402 6.2113744602390035,7.878770554777104 0 1 775376802/775382483=775590789/775596470
NewParcel 776181972 9.731872449795613,6.8829803516721375 5.768980722034157,0.36830508845036136 0 1 776186824/776197119=776408698/776418993
NewParcel 776933185 5.575130120854364,1.469688901490992 6.034653492564522,2.925721789643588 0 1 776937620/776948749=777216130/777227259
NewParcel 777718396 4.584003524535046,2.5847967876764266 6.14009138756178,0.3702939793506954 0 1 777718635/777738156=777996071/778015592
NewParcel 778424649 5.679280853773965,7.424678683604705 7.993418633595359,0.13468661170162544 0 1 778426196/778443101=778694665/778711570
NewParcel 779248168 1.6421874123214752,9.687353492484398 6.321005092600085,3.711576233289721 0 1 779256889/779259446=779466981/779469538
NewParcel 779992489 2.9213099010509014,5.027128335416701 5.296808189287795,3.852832600626972 0 1 780001689/780003288=780229363/780230962
NewParcel 780791058 6.728217215437693,0.8848557651397537 6.173303281636664,0.9978275692549443 0 1 780795314/780806801=781023202/781034689
NewParcel 781592383 7.710841975409295,1.0453601239167354 2.828062793417182,4.907431987908858 0 1 781597292/781607473=781842024/781852205
NewParcel 782290371 8.9936795954386,7.77360315738354 4.6400475942104835,9.980263901582635 0 1 782293275/782307466=782510808/782524999
NewParcel 782977014 4.873875151051793,6.881144132263573 8.609672659511514,5.227749616456262 0 1 782977149/782996878=783203488/783223217
NewParcel 783639110 8.962253285001488,3.5744625581087264 5.136709974832083,2.3845607070158383 0 1 783646547/783651672=783881618/783886743
NewParcel 784315251 4.058358950584405,9.436703156816597 4.370090045844053,8.130991424054116 0 1 784316370/784334131=784534213/784551974
NewParcel 785073821 2.548568631197025,3.394404698077901 2.5436660960647792,8.903833548911631 0 1 785076981/785090660=785345807/785359486
NewParcel 785767301 8.616335139742684,2.020779273544112 0.21200268665409916,9.272318144535182 0 1 785775745/785778856=785996809/785999920
NewParcel 786562690 6.053629734802893,7.027100722142821 6.800250232121763,7.3556813232195974 0 1 786572639/786572740=786797249/786797350
NewParcel 787342394 7.962641602448289,0.2937639364534761 8.382170350264268,3.2589189367553995 0 1 787342683/787362104=787602075/787621496
NewParcel 788014459 7.136799856212315,9.292583969866417 8.10037255155453,9.003292598760487 0 1 788019949/788028968=788303143/788312162
NewParcel 788765564 8.410178774655288,8.251888702316615 1.1428241515652493,0.9281488901804191 0 1 788769979/788781148=789010116/789021285
NewParcel 789534709 6.764348672327154,2.9159734627743883 8.689699648596545,8.040614083229636 0 1 789539445/789549972=789819499/789830026
NewParcel 790280080 7.48173737038749,9.250480083463824 7.744627054246104,2.2897285444381565 0 1 790283919/790296240=790548074/790560395
NewParcel 790956085 7.134561309929808,8.945258129660894 6.264397642609855,9.241581140419324 0 1 790956661/790975508=791214028/791232875
NewParcel 791712104 6.698390752728089,7.066277262047141 5.501198915531403,0.13200698745931327 0 1 791713346/791730861=791946081/791963596
NewParcel 792469021 0.5794117632370643,9.708146463814135 3.971436132001138,8.773412072293583 0 1 792469729/792488312=792708018/792726601
NewParcel 793124127 7.844447106884217,1.9988100580700807 9.965201677582623,9.292285179444576 0 1 793131194/793137059=793432946/793438811
NewParcel 793779532 4.442797491886298,9.30797602422635 2.010457100426505,3.1739628131542297 0 1 793785262/793793801=794058751/794067290
NewParcel 794583748 7.708967152273485,7.010842441095965 9.205989548441199,6.5912043455359095 0 1 794590091/794597404=794823178/794830491
NewParcel 795420623 6.935336018917857,6.6586868786075994 5.837204677465718,1.4931465807522548 0 1 795424061/795437184=795634010/795647133
NewParcel 796174363 6.3038409116273675,8.907875252641333 7.188819776670689,6.431194743326114 0 1 796183576/796185149=796476885/796478458
NewParcel 796843891 8.965726285468463,6.058858168639416 5.968517616410999,5.598414684548477 0 1 796848227/796859554=797080260/797091587
NewParcel 797574321 3.5584307641746316,9.556714174224702 1.2556263293780234,7.058988754014449 0 1 797574496/797594145=797824125/797843774
NewParcel 798317880 6.9486693232517815,0.30480459371871493 4.388884563676205,3.6442988636524873 0 1 798321235/798334524=798546056/798559345
NewParcel 799131111 9.490773555841619,2.1430991412746216 8.707356995154486,2.4921949444469593 0 1 799132143/799150078=799345257/799363192
NewParcel 799859745 1.5893542797964733,1.342738699150604 2.558561747297369,1.7060186562127755 0 1 799862535/799876954=800072242/800086661
NewParcel 800557148 2.855347354404838,7.468395426414372 7.487871751268058,5.109935707744784 0 1 800559705/800574590=800838874/800853759
NewParcel 801226791 7.644505549610741,3.45999278480821 6.023253308041996,8.57714910639224 0 1 801228228/801245353=801530489/801547614
NewParcel 801973708 3.267400092881031,5.285348999826573 5.9694042577522675,3.907546619875264 0 1 801983569/801983846=802198853/802199130
NewParcel 802794453 9.659992277872117,4.01530527713691 0.6253537515864971,8.731352012678762 0 1 802799401/802809504=803041765/803051868
NewParcel 803629589 1.8038403246721513,5.672902664924785 6.839586254874126,3.415338629752952 0 1 803636072/803643105=803882118/803889151
NewParcel 804347276 8.685001056206335,6.708168509764915 5.316753341325611,8.448168854885683 0 1 804349677/804364874=804596276/804611473
NewParcel 805021053 5.080691506075551,5.450075875058566 0.0900334483708487,8.281423008364701 0 1 805023237/805038868=805308656/805324287
NewParcel 805809455 4.9627708419798156,2.387239477342147 6.57320531422673,0.10287770952216002 0 1 805813522/805825387=806046438/806058303
NewParcel 806539607 7.807107198456176,4.628906964653253 0.1064945960888819,8.518598684389833 0 1 806549055/806550158=806815342/806816445
NewParcel 807341505 1.5978898775883232,2.3978131900783572 9.410257229409119,9.620410204725719 0 1 807346908/807356101=807614463/807623656
NewParcel 808174195 8.815950542842037,7.906456230162563 1.8605632744846112,0.41530159378632026 0 1 808177900/808190489=808395165/808407754
NewParcel 808829613 4.200156174363778,9.468357958428253 7.41755582239767E-4,2.0933346987388415 0 1 808831859/808847366=809116100/809131607
NewParcel 809594361 5.570934952204909,6.195874256676554 1.2029509093764124,8.110616862906877 0 1 809596618/809612103=809833390/809848875
NewParcel 810394248 1.5049991024075604,1.13611372551071 4.893833528359924,0.5638974117851991 0 1 810396473/810412022=810622115/810637664
NewParcel 811140937 2.150327288024961,3.196530647307573 4.258324274697741,0.8333540486623614 0 1 811147852/811154021=811362226/811368395
NewParcel 811944577 1.9704655881232236,0.7117526276982078 1.8356660424801041,2.9701297814899186 0 1 811951953/811957200=812209046/812214293
NewParcel 812650834 5.7072150857612485,2.0032062100922197 0.9217038084667217,0.805183573087338 0 1 812656185/812665482=812905576/812914873
NewParcel 813405261 1.3507653315131662,0.7831026029403576 7.1915122297146015,2.2560164539084884 0 1 813408235/813422286=813710819/813724870
NewParcel 814242482 6.406334476466785,6.75434673976418 7.456425353675487,6.807837109022639 0 1 814248640/814256323=814465405/814473088
NewParcel 815042189 6.246383015360493,4.257931737141531 4.969526412788977,4.645726815890718 0 1 815049765/815054612=815302781/815307628
NewParcel 815788495 5.837460667193363,4.319380555066311 3.193663610465701,8.414369458223302 0 1 815791117/815805872=816021320/816036075
NewParcel 816513707 8.630749087139993,7.945798340481593 2.4460503920272716,1.0819070140416998 0 1 816522977/816524436=816819697/816821156
NewParcel 817202113 8.90536314085447,1.0250979289568218 6.333518864212206,5.884483337502217 0 1 817202317/817221908=817454897/817474488
NewParcel 817873918 6.353475148628526,3.678959973651399 7.3924806099835925,6.82803804821523 0 1 817877059/817890776=818099306/818113023
NewParcel 818663990 4.196320285634113,9.42109218819213 3.84766602093931,0.7239164023572275 0 1 818666722/818681257=818970324/818984859
NewParcel 819354601 4.620151196499975,1.9723473099617184 1.9036979586824687,4.234852116430064 0 1 819359543/819369658=819602960/819613075
NewParcel 820115893 7.821198743853724,0.08426508998961024 0.48356587556391384,1.9078913276455378 0 1 820118203/820133582=820332952/820348331
NewParcel 820952322 3.4487059805035036,3.22259948056433 7.828061496066672,3.6708150343186174 0 1 820958305/820966338=821254939/821262972
NewParcel 821747862 5.735094574570777,3.4623931230089533 1.8702392835177284,2.7686275296951224 0 1 821755792/821759931=822037261/822041400
NewParcel 822447292 6.102328765591532,1.4461626164188124 8.79896286790286,7.616668843149469 0 1 822451515/822463068=822711993/822723546
NewParcel 823205407 9.533536602438083,6.756757042332144 6.725602969149874,3.546916541509908 0 1 823213205/823217608=823475854/823480257
NewParcel 823880541 3.4989540626194096,5.556450320406334 3.867944042848243,2.9240382572081245 0 1 823887119/823893962=824134661/824141504
NewParcel 824643301 0.7252523253528464,0.8438336698665538 3.165368982566638,4.607758433365495 0 1 824643674/824662927=824921014/824940267
NewParcel 825315968 9.597309849157375,3.1800662931078683 7.739377541114388,6.238099236902531 0 1 825323408/825328527=825541963/825547082
NewParcel 826152525 8.481496902436078,2.2360506307234127 4.113506240286449,5.320062184521879 0 1 826161640/826163409=826410402/826412171
NewParcel 826913826 2.7595266727116408,2.0120911239035735 2.60670938024563,7.584309017041074 0 1 826922230/826925421=827190991/827194182
NewParcel 827686935 5.861944551790157,5.081602758972968 6.814264075204278,3.6004073983499394 0 1 827692877/827700992=827938437/827946552
NewParcel 828342208 8.090310244057775,3.7104288515508133 6.590263620424944,7.119200943044328 0 1 828346417/828357998=828582976/828594557
NewParcel 829016210 9.517141091435795,8.203331886409858 1.445758764440933,1.1208693725284768 0 1 829024615/829027804=829294952/829298141
NewParcel 829753099 5.752675956064483,5.3292194782226945 3.7766109679989057,0.04523912320157142 0 1 829762987/829763210=830047409/830047632
NewParcel 830431643 7.867521572236158,2.1766687477299893 3.8351222155133726,9.180906406724684 0 1 830437205/830446080=830682651/830691526
NewParcel 831149549 0.26024719065290136,3.2913106569787773 0.8594982334720902,4.689737739849432 0 1 831153677/831165420=831455744/831467487
NewParcel 831931342 2.7589872658610592,1.4466369276131386 7.275214226436384,0.243308528194226 0 1 831938920/831943763=832184971/832189814
NewParcel 832770537 5.746114508165032,4.899793544556975 5.382340953650861,8.74784181572303 0 1 832774385/832786688=833056288/833068591
NewParcel 833611397 9.595048191773133,6.483920116309955 8.442895414029154,0.1342111370737531 0 1 833615417/833627376=833845866/833857825
NewParcel 834320087 2.2082577307980045,2.3886017018995345 0.5822792524423936,8.68957010603185 0 1 834325060/834335113=834541796/834551849
NewParcel 834989582 0.9455257443121423,0.9799915561462791 2.4188644612112578,5.907168579476904 0 1 834995459/835003704=835213125/835221370
NewParcel 835667194 7.731531441644867,4.512171030756347 1.835794481617311,7.330922127917128 0 1 835671631/835682756=835941372/835952497
NewParcel 836388147 8.631819070661933,9.081305753450605 1.8090561815151551,4.371292342259539 0 1 836394428/836401865=836656737/836664174
NewParcel 837043123 1.6862118876851118,0.6741633540687986 9.705890739355269,4.5690456765062395 0 1 837051508/837054737=837318216/837321445
NewParcel 837702269 9.28873438013614,7.662552977445289 4.967603753576491,6.283449324600044 0 1 837707215/837717322=837983907/837994014
NewParcel 838362654 3.903107298381714,2.595251479465782 4.590836423696098,6.281468329336972 0 1 838364242/838381065=838624782/838641605
NewParcel 839080725 8.402874875102679,8.638976024560904 8.321362219875756,1.2045257743301652 0 1 839082035/839099414=839332256/839349635
NewParcel 839895820 4.825229608227909,8.519967906540245 7.974469620692623,6.389390480460106 0 1 839898891/839912748=840116918/840130775
NewParcel 840645341 7.8275949543315315,6.317749471691121 7.795994963364828,8.01975070503448 0 1 840646740/840663941=840862787/840879988
NewParcel 841316713 1.6360300419353135,4.962615464272744 5.278066358689647,7.085041468842197 0 1 841319665/841333760=841598547/841612642
NewParcel 841975791 1.7745169751322365,4.788422684986858 4.3436226404377845,6.123083636795865 0 1 841979181/841992400=842194170/842207389
NewParcel 842755910 5.364195954560186,0.9922401021193983 5.3137700150956135,2.2230985775511645 0 1 842761401/842770418=842998445/843007462
NewParcel 843486296 6.281608264601157,0.3524220393354849 8.5720350917866,2.2656639038721726 0 1 843493187/843499404=843699902/843706119
NewParcel 844283093 3.965010789212955,0.056666505316543825 1.3395843343384894,8.876167041079535 0 1 844286441/844299744=844580682/844593985
NewParcel 845020799 7.157823967913943,3.9916203206463727 9.475464070473373,8.068323987995697 0 1 845021734/845039863=845299927/845318056
NewParcel 845846416 6.378276779822021,4.345596608907836 8.715929237442046,2.0543241155433822 0 1 845854472/845858359=846090301/846094188
NewParcel 846593171 1.4043095496812918,8.875963997717001 2.2669208850384095,3.19816248145289 0 1 846598851/846607490=846898260/846906899
NewParcel 847295186 2.562799132353084,6.692770488953206 4.163757113542525,7.588724604053735 0 1 847296888/847313483=847575774/847592369
NewParcel 847999004 7.1121670461873485,7.910166633824105 0.3120948598248019,9.209182714914572 0 1 848001822/848016185=848278166/848292529
NewParcel 848712418 4.507434292187256,5.017188364320944 1.6242339891882684,8.179270146940485 0 1 848717237/848727598=848959818/848970179
NewParcel 849425570 6.836784546970094,6.31946240306959 6.164814773187946,9.046992207139322 0 1 849435271/849435868=849686499/849687096
NewParcel 850083831 3.2186990939082563,4.30339750885902 9.719982371672618,7.606339222090702 0 1 850089322/850098339=850380120/850389137
NewParcel 850786493 9.448725851005682,4.274423064242445 6.704072454026054,7.217563607102217 0 1 850788671/850804314=851088716/851104359
NewParcel 851529842 6.684943252190322,1.1208393800798744 5.817885691894324,8.106581059151035 0 1 851534509/851545174=851831546/851842211
NewParcel 852307708 5.4611849913624955,4.554838019667667 7.372609803230415,5.620061524391533 0 1 852308841/852326574=852586161/852603894
NewParcel 853127124 3.817084374222941,5.682261062177989 1.6934560603789495,5.912771455937447 0 1 853129812/853144435=853411386/853426009
NewParcel 853891256 0.8340028716101111,0.25265529837379175 0.5170673774102374,0.043728318833436974 0 1 853899005/853903506=854157159/854161660
NewParcel 854546288 9.365905568178238,6.441188266665433 5.796765261955529,9.957731763650958 0 1 854548307/854564268=854819193/854835154
NewParcel 855383496 4.254244449361229,7.513986816340328 2.829695801490766,2.32883369222204 0 1 855385962/855401029=855613503/855628570
NewParcel 856132256 4.815914530133895,2.2284604121660214 7.119936679408417,8.742308731219438 0 1 856133459/856151052=856362803/856380396
NewParcel 856874278 2.893341160812366,8.320174114028955 6.891629935678894,3.1916878586374087 0 1 856876948/856891607=857143887/857158546
NewParcel 857653880 0.25576656814324084,6.927829347990013 5.666200455784386,0.36741915757315 0 1 857658895/857668864=857872069/857882038
NewParcel 858353651 1.6407934453826867,8.307919265064292 1.8177249772323745,0.7137155366367298 0 1 858357722/858369579=858645836/858657693
NewParcel 859149380 2.2252498498189297,1.6906195608209618 4.520511671837508,0.7301551050231103 0 1 859155210/859163549=859451885/859460224
NewParcel 859852667 0.8144379153051295,4.628475666152006 8.002955614619733,9.494593222010185 0 1 859853476/859871857=860117721/860136102
NewParcel 860694151 2.5388310107850987,9.689452025183115 8.521729973989913,4.883952579468698 0 1 860695361/860712940=860916077/860933656
NewParcel 861394837 7.347275370373753,8.84590265704196 0.9703772654954124,5.4694492195609214 0 1 861404103/861405570=861612397/861613864
NewParcel 862117514 3.0857674569914826,8.411028791962918 4.536362515453574,6.562822410835806 0 1 862120200/862134827=862333684/862348311
NewParcel 862884813 4.450861669504017,9.874382554926106 9.320650367065621,1.3901254653336614 0 1 862885393/862904232=863134040/863152879
NewParcel 863694963 1.6067774946985913,4.487982263792322 8.333869390949237,0.8696440042977938 0 1 863695732/863714193=863929241/863947702
NewParcel 864460845 4.755262129658307,1.954600177776925 1.783126154222946,7.970502405890585 0 1 864467732/864473957=864719751/864725976
NewParcel 865242477 3.4472770053132495,6.069785059474606 3.0635308944702766,5.128521142715378 0 1 865243634/865261319=865528582/865546267
NewParcel 866037585 1.9255666954218331,2.669184335085768 8.368496682164574,5.695886562105529 0 1 866043842/866051327=866287458/866294943
NewParcel 866839457 4.2871752889996895,7.732723522190723 4.332877568666911,2.9011996167780407 0 1 866846618/866852295=867101756/867107433
NewParcel 867565799 5.754969679025029,5.997212403588181 0.6230046976515546,2.2964595108777583 0 1 867567154/867584443=867841733/867859022
NewParcel 868406851 8.847236112036505,2.9289331578526467 6.887683716403061,6.1675500356082065 0 1 868410191/868423510=868634605/868647924
NewParcel 869135546 5.734409674969914,5.40777776445882 5.984218797832945,0.8847902964220866 0 1 869142346/869148745=869429022/869435421
NewParcel 869967030 0.5719994130652861,8.974496525144364 7.893521617771027,0.6701093358231114 0 1 869972379/869981680=870270569/870279870
NewParcel 870649391 8.098773896091314,1.9926179413075507 1.2383699278271199,3.7574108986063037 0 1 870649637/870669144=870873911/870893418
NewParcel 871411976 7.289266275934149,9.576604694837593 1.8188793582904061,9.422688067105883 0 1 871412966/871430985=871624276/871642295
NewParcel 872192209 1.3496643233497962,2.6378078348193155 0.07924899354282533,6.860452299644326 0 1 872194376/872210041=872437941/872453606
NewParcel 873006347 7.84614634957229,9.899780117713867 1.9198420447738385,9.383038015362029 0 1 873013832/873018861=873268492/873273521
NewParcel 873824151 5.25472589287366,3.2345133601719667 9.76866968755931,9.9193452469644 0 1 873833508/873834793=874102577/874103862
NewParcel 874651977 4.721667640389774,9.171161124610384 3.326332907086711,6.2895841122690355 0 1 874661933/874662020=874935984/874936071
NewParcel 875323320 8.323537986848757,1.9288082439469056 1.898491834199758,7.232581614433013 0 1 875330455/875336184=875577849/875583578
NewParcel 876140380 7.615949496766391,5.824852007397356 2.72991972472463,2.6622163843881355 0 1 876146486/876154273=876437850/876445637
NewParcel 876804743 8.76006766363417,7.410554502073159 2.2542080105128406,4.129539416672562 0 1 876810016/876819469=877058278/877067731
NewParcel 877619817 3.015935879903191,0.18533219888172692 9.673181884342917,3.967147678785319 0 1 877621949/877637684=877919906/877935641
NewParcel 878342172 3.8916863407372917,7.241342500985563 4.780091729528841,4.092370209874109 0 1 878344791/878359552=878607599/878622360
NewParcel 879103484 4.737694956006945,9.689929841549489 4.440640526929696,7.945830683156448 0 1 879108308/879118659=879378657/879389008
NewParcel 879919302 3.0747479189915747,1.2214967859789605 4.645910389540041,1.5419485065761396 0 1 879924745/879933858=880173883/880182996
NewParcel 880645394 0.4452768886746905,1.6503578825014542 7.551251710116795,2.1079399774035457 0 1 880650290/880660497=880908446/880918653
NewParcel 881436955 9.076729912558836,4.796143131904243 5.415197103446642,5.287884321996456 0 1 881441443/881452466=881716593/881727616
NewParcel 882210503 9.146137505576394,8.553311278972135 5.8524608719948965,4.388414422796492 0 1 882217021/882223984=882511324/882518287
NewParcel 882902794 2.9349375102503297,7.500336294665582 5.315089231277922,7.642597287295266 0 1 882908531/882917056=883117162/883125687
NewParcel 883665656 4.663122549523477,0.9001285181814533 0.2158216511709976,1.9685639865394267 0 1 883673712/883677599=883951208/883955095
NewParcel 884330134 7.291769152556285,1.4432540514543202 7.6077263888253635,4.199454639449446 0 1 884340020/884340247=884644632/884644859
NewParcel 885117903 0.08301527063805936,2.5855143967811554 9.834174220190793,3.261238096015467 0 1 885126936/885128869=885403899/885405832
NewParcel 885872409 3.206545338017428,4.831449557598271 0.06321098712588236,9.274970629046395 0 1 885877935/885886882=886117923/886126870
NewParcel 886626755 8.181646689070632,3.8153256245179334 8.120390061365928,8.060055895238726 0 1 886635045/886638464=886844502/886847921
NewParcel 887319856 5.44389998838624,5.531169992147664 8.534133612475074,2.0150680165497215 0 1 887320904/887338807=887566310/887584213
NewParcel 888116940 2.8255668146326487,6.563418879584162 5.207675808931336,0.8527005641820473 0 1 888125308/888128571=888363836/888367099
NewParcel 888884985 1.2387335530140853,9.669734861181007 9.631659000139575,8.165403966716756 0 1 888885226/888904743=889169647/889189164
NewParcel 889718226 6.350280474128519,7.567562135220155 2.051440851398426,2.2982744972307554 0 1 889719318/889737133=889965378/889983193
NewParcel 890403391 7.537729864120989,0.27597805665020236 7.503174613425296,2.5057562433485483 0 1 890410011/890416770=890639925/890646684
NewParcel 891158861 7.915044840660571,3.864406500853109 1.1327283215751227,3.8687188425353525 0 1 891168234/891169487=891394304/891395557
NewParcel 891876470 1.717433688209976,0.9597527021894181 9.711502051618927,6.948473951203319 0 1 891877917/891895022=892165693/892182798
NewParcel 892639208 7.834228143366332,5.863523569661727 8.763207462595942,0.6542930064205554 0 1 892639423/892658992=892890201/892909770
NewParcel 893482607 0.7788930714453524,9.630497519289037 7.215671659331765,9.300988429230767 0 1 893483085/893502128=893700942/893719985
NewParcel 894212129 2.8852335063958643,2.9605017905614126 3.9917284875492487,7.333119561774556 0 1 894216069/894228188=894475008/894487127
NewParcel 894983400 4.018861785129105,7.254866278456599 3.4532581765774784,7.6923891380046685 0 1 894987809/894998990=895289995/895301176
NewParcel 895696680 7.592982776228526,6.689108495626761 9.112440454242304,2.304789121494638 0 1 895701294/895712065=895917737/895928508
NewParcel 896451468 4.177566267118017,6.653420260858914 7.5242800372870295,5.664060294522798 0 1 896459511/896463424=896669959/896673872
NewParcel 897151686 6.490963690090435,6.412512293039124 6.77447133554025,4.988029274808497 0 1 897158383/897164988=897457561/897464166
NewParcel 897846426 2.0630340044434083,6.336382165823455 6.476660751638809,2.924380862077384 0 1 897849587/897863264=898062323/898076000
NewParcel 898535747 2.358840907013274,2.5535688802972976 8.693171402866103,1.282435425802868 0 1 898538636/898552857=898786797/898801018
NewParcel 899365572 9.651984474720628,4.378452879809317 1.6932528937446423,6.767486181562573 0 1 899365676/899385467=899655234/899675025
NewParcel 900180248 5.436627697784776,2.3641693091158453 0.9629171661469771,2.194264502734975 0 1 900188449/900192046=900435381/900438978
NewParcel 900895860 6.667283018877317,7.332691181353552 4.3804243221626376,9.156093255875655 0 1 900898933/900912786=901188054/901201907
NewParcel 901701938 8.615420156436054,3.2336504784936526 0.9714801170374177,0.6262905695512844 0 1 901707166/901716709=901978384/901987927
NewParcel 902493715 5.631956527613329,9.183455562429025 5.1582074528007285,4.468387824766896 0 1 902497846/902509583=902779718/902791455
NewParcel 903181623 3.6046957959109083,8.53626882452817 0.9159560285889634,1.3317234572006786 0 1 903187257/903195988=903448115/903456846
NewParcel 904019256 0.3997728042375015,5.3384086877544235 2.752010168600607,2.9089743477250862 0 1 904020178/904038333=904282485/904300640
NewParcel 904835554 3.0761725791093983,1.017734897295387 2.92025876017361,9.032189595178174 0 1 904838407/904852700=905102400/905116693
NewParcel 905651488 3.162380698154811,6.659583970515783 6.785890079635585,4.583887181265238 0 1 905654587/905668388=905902637/905916438
NewParcel 906406068 3.784231440043737,8.720812475580006 0.7541738737954262,9.699775862863056 0 1 906407061/906425074=906710593/906728606
NewParcel 907211024 4.933014659788407,8.533515233075004 9.67739146307013,9.239666601402956 0 1 907213484/907228563=907439674/907454753
NewParcel 907898033 5.662901773565841,8.44997827064811 3.153978394783813,0.003134747017876638 0 1 907902992/907913073=908118858/908128939
NewParcel 908616906 4.506760066152057,9.980428931124717 2.6339427223126854,6.666495126461292 0 1 908618708/908635103=908915597/908931992
NewParcel 909287678 1.8994075839865832,1.7751466149048745 3.744618446723954,9.917653562163158 0 1 909294461/909300894=909506326/909512759
NewParcel 910004074 0.8973823718110152,7.8024975256791915 0.7508195062624268,2.765397492971371 0 1 910011553/910016594=910275809/910280850
NewParcel 910830353 4.9842783904060415,8.57445324947865 2.5634545208850334,3.4996854241478115 0 1 910833515/910847190=911043644/911057319
NewParcel 911628066 4.250718371597807,0.7711578026973764 2.210667602691231,6.279503018068069 0 1 911628741/911647390=911853222/911871871
NewParcel 912393797 3.7380212379702815,3.116104841748155 4.185564619885641,2.824842051421048 0 1 912403011/912404582=912695521/912697092
NewParcel 913083488 0.23462905354225572,8.853488850425865 6.584589405557013,1.1893701248633382 0 1 913085871/913101104=913387114/913402347
NewParcel 913843464 6.314355081653357,7.67928909191216 7.450612502659545,0.09035010763937978 0 1 913846902/913860025=914078800/914091923
NewParcel 914562838 2.9055160536725513,2.47765468635078 7.234793434707745,9.772373552337823 0 1 914569944/914575731=914848319/914854106
NewParcel 915306473 4.18000940520968,8.714147589270025 1.7912791680766804,2.8814696699983244 0 1 915315365/915317580=915557636/915559851
NewParcel 916082229 1.0514008931234553,6.837409075066967 2.8188048963194268,1.326153877221724 0 1 916082484/916101973=916362285/916381774
NewParcel 916740752 2.071082679454218,0.5408120887653733 5.1632533303884145,7.601975493841133 0 1 916746323/916755180=917047341/917056198
NewParcel 917400587 3.011565134906525,6.2356612704658225 2.8952406368292682,1.5561304654520036 0 1 917404852/917416321=917651587/917663056
NewParcel 918235930 8.92596550274789,1.5875024941593363 8.57678841158349,6.068699508922567 0 1 918244942/918246917=918538458/918540433
NewParcel 918958877 4.972754664091994,3.4671066310494436 2.631144690567966,7.627075096491129 0 1 918967301/918970452=919229451/919232602
NewParcel 919672537 4.794825368950127,8.167687069374022 2.229818972603088,0.2701381981122475 0 1 919672630/919692443=919902611/919922424
NewParcel 920365926 7.7419453346874985,9.239917265493737 1.6108879228639783,3.8787500603034286 0 1 920373336/920378515=920645839/920651018
NewParcel 921166087 8.725654180425693,0.796305995593305 8.242641724315602,0.28911941961372367 0 1 921167140/921185033=921451724/921469617
NewParcel 921957400 6.9956718458587925,6.636497700349466 1.7466282668468924,3.205607523239432 0 1 921960937/921973862=922217678/922230603
NewParcel 922722595 2.6268772395070505,8.045057007522216 4.994158063513109,0.3895348566811696 0 1 922725321/922739868=922932150/922946697
NewParcel 923554501 2.0059193259518118,5.613301174038696 9.290336098804076,9.100551578438488 0 1 923562216/923566785=923854772/923859341
NewParcel 924332094 6.106526773150318,2.936743332322372 8.059678804481756,8.267132506898243 0 1 924340064/924344123=924595263/924599322
NewParcel 925148949 7.842575463647713,2.539708419791787 5.947380356248027,3.362763204267083 0 1 925153072/925164825=925422991/925434744
NewParcel 925926719 7.2879763400003394,6.878684303752458 2.750292223733185,2.4643731598268435 0 1 925933049/925940388=926236116/926243455
NewParcel 926640805 6.052448625174738,9.775970651158465 4.091676069246715,4.469587311229011 0 1 926644390/926657219=926946259/926959088
NewParcel 927429910 4.602237982509999,6.135188875031188 3.253794151298268,2.9493484043341613 0 1 927434798/927445021=927701673/927711896
